paper_id,citation,year,venue,datasets,task,model_family,eval_protocol,statistical_unit,normalization_scope,headline_metric,subject_independent_eval,subject_id_as_confound,generalization_claim,leakage_risk,confidence,category,notes,normalization_class
Wang2018plv,"Wang et al., Phase-Locking-Value based Graph CNN for EEG Emotion Recognition",2018,(journal),DEAP,valence/arousal binary,GNN,subject-dependent (segment CV),segment,per-subject,acc ~0.84,none,no,ambiguous,Medium,low,primary,Protocol inferred,per-subject (scope unverified)
Ding2022,"Ding et al., TSception: Temporal Dynamics and Spatial Asymmetry for EEG Emotion Recognition",2022,IEEE Trans. Affective Computing,"DEAP, MAHNOB-HCI",valence/arousal binary,CNN,subject-dependent (leave-trials-out),trial,per-subject,DEAP ~0.62-0.63,none,no,within-subject,Medium,med,primary,Trial-level CV (better) but within-subject only,per-subject (scope unverified)
Jia2020,"Jia et al., SST-EmotionNet: Spatial-Spectral-Temporal 3D Attention Network",2020,ACM Multimedia,"SEED, DEAP",3-class / binary,CNN-attention,subject-dependent (within-subject CV),segment,per-subject,SEED ~0.96,none,no,ambiguous,Medium,low,primary,Protocol inferred,per-subject (scope unverified)
Zhang2020gcb,"Zhang et al., GCB-Net: Graph Convolutional Broad Network for EEG Emotion Recognition",2020,IEEE Trans. Affective Computing,"SEED, DREAMER",3-class / binary,GNN,subject-dependent (within-subject CV),segment,per-subject,SEED ~0.94,none,no,ambiguous,Medium,low,primary,Protocol inferred,per-subject (scope unverified)
Du2022,"Du et al., An Efficient LSTM Network for Emotion Recognition from Multichannel EEG (ATDD-LSTM)",2022,IEEE Trans. Affective Computing,"SEED, SEED-IV, DEAP",multi-class,RNN-LSTM + attention,subject-dependent + cross-subject transfer,segment,per-subject,varies,partial,partial,population,Medium,low,primary,Attention transfer for cross-subject; protocol inferred,per-subject (scope unverified)
Topic2021,"Topic & Russo, Emotion Recognition based on EEG Feature Maps through Deep Learning",2021,(journal),"DEAP, SEED, DREAMER",binary / multi-class,CNN (topographic/holographic maps),subject-dependent (+ some independent),segment,per-subject,0.85-0.95,partial,no,population,Medium,low,primary,Multi-dataset; mixed protocol; inferred,per-subject (scope unverified)
Tuncer2021,"Tuncer et al., Handcrafted (TQWT/pattern) features for EEG emotion recognition",2021,(journal),"DREAMER, DEAP",binary,classical,subject-dependent / mixed (10-fold over samples),sample,global/per-subject,acc >0.95,none,no,ambiguous,High,low,primary,10-fold over pooled samples; protocol inferred,global (scope unverified)
Song2021iag,"Song et al., Instance-Adaptive Graph for EEG Emotion Recognition (IAG)",2021,(journal),SEED,3-class,GNN,subject-dependent + cross-subject,segment,per-subject,SEED ~0.95,partial,no,population,Medium,low,primary,Reports both; inferred,per-subject (scope unverified)
Liu2021_3dcnn,"Liu et al., 3D Convolutional Neural Network for EEG-based Emotion Recognition",2021,(journal),"DEAP, SEED",binary / 3-class,CNN (3D),subject-dependent (segment CV),segment,per-subject,acc ~0.93,none,no,ambiguous,High,low,primary,Segment-level; protocol inferred,per-subject (scope unverified)
Rayatdoost2018,"Rayatdoost & Soleymani, Cross-corpus EEG-based Emotion Recognition",2018,IEEE MLSP,"DEAP, MAHNOB, +own",binary,CNN (spectral topomaps),cross-corpus / subject-independent,segment,train-only,sharp drop across corpora,primary,yes,population (questions it),Low,high,honest,KEY precedent: accuracy collapses across corpora; models learn stimulus info; verified,train-only
Cimtay2020,"Cimtay & Ekmekcioglu, Pretrained CNN on Cross-Subject and Cross-Dataset EEG Emotion Recognition",2020,Sensors,"DEAP, SEED, LUMED",binary / 3-class,CNN (InceptionResNetV2),cross-subject + cross-dataset,segment,per-subject (stratified),DEAP cross-subj 0.728; SEED->DEAP 0.581,primary,yes,population,Low,high,honest,Cross-dataset drop to 0.58; verified,per-subject (scope unverified)
Pandey2022,"Pandey & Seeja, Subject-Independent Emotion Detection from EEG using Deep Neural Network",2019,Springer (LNNS) / journal,DEAP,valence/arousal binary,DNN (VMD features),subject-independent (LOSO),trial/segment,train-only,val 0.625 / aro 0.613,primary,yes,population,Low,high,honest,Honest LOSO ~0.62; verified,train-only
Lan2018,"Lan et al., Domain Adaptation Techniques for EEG-based Emotion Recognition: A Comparative Study",2018,IEEE Trans. Cognitive and Developmental Systems,"SEED, DEAP",binary / 3-class,domain adaptation (classical),cross-subject (domain adaptation),segment,train-only,cross-subject improvement,primary,yes,population,Low,med,honest,Cross-subject DA comparison across two datasets,train-only
Li2020_multisource,"Li et al., Multisource Transfer Learning for Cross-Subject EEG Emotion Recognition",2020,IEEE Trans. Cybernetics,SEED,3-class,transfer learning,cross-subject,segment,train-only,+12.7% on SEED,primary,yes,population,Low,high,honest,Cross-subject transfer; verified,train-only
Tang2023,"Tang et al., STILN: Spatial-Temporal-Inter-channel Learning Network (subject-independent)",2023,Biomed. Signal Process. & Control,DEAP,valence/arousal binary,CNN,subject-independent (LOSO),trial/segment,train-only,aro 0.683 / val 0.675,primary,yes,population,Low,high,honest,Honest subject-independent; verified,train-only
Wang2024_ssl,"Wang, Chen & Song, Cascaded Self-Supervised Learning for Cross-Subject EEG Emotion (domain generalization)",2024,arXiv preprint,DEAP,valence/arousal binary,self-supervised,"subject-independent (LOSO, no target FT)",trial,train-only,aro 0.697 / val 0.655,primary,yes,population,Low,high,honest,Domain-generalization LOSO; verified,train-only
Kukhilava2025,"Kukhilava et al., A Unified Benchmark for EEG Emotion Recognition",2025,arXiv preprint,"DEAP, +",valence/arousal binary,CNN family (EEGNet/TSception/Deep/ShallowConvNet),subject-independent (LOSO),trial,train-only,aro 0.53-0.57 / val 0.51-0.53,primary,yes,population (near chance),Low,high,honest,STRONGEST contrast: conservative LOSO near chance; verified,train-only
Zhang2025_mdjpt,"Zhang et al., mdJPT: Multi-dataset Joint Pre-training of Emotional EEG",2025,NeurIPS,6 emotion datasets incl. DEAP,various,Transformer (pretrain),cross-dataset (zero/few-shot),segment,train-only,few-shot +4.57% AUROC,primary,yes,population,Low,med,honest,Explicit cross-dataset generalization; verified,train-only
Jiang2024_labram,"Jiang et al., LaBraM: Large Brain Model for Generic EEG Representations",2024,ICLR,many incl. emotion,various,Transformer (foundation model),cross-subject (pretrain+finetune),segment,per-recording,downstream gains,partial,partial,population,Medium,med,primary,EEG foundation model; emotion among downstream tasks; verified,per-recording (scope unverified)
Yang2023_biot,"Yang et al., BIOT: Biosignal Transformer for Cross-data Learning in the Wild",2023,NeurIPS,cross-dataset biosignals,various,Transformer,cross-data,segment,per-recording,cross-data gains,primary,partial,population,Low,med,primary,Cross-data transformer; verified,per-recording (scope unverified)
Apicella2024,"Apicella et al., Toward Cross-Subject and Cross-Session Generalization in EEG-based Emotion Recognition: Systematic Review, Taxonomy, and Methods",2024,Neurocomputing,review,-,review,-,-,-,-,-,yes,-,NA,high,survey,Systematic review of generalization; directly supports the argument,n/a
Craik2019,"Craik et al., Deep learning for EEG classification tasks: a review",2019,J. Neural Engineering,review,-,review,-,-,-,-,-,mentioned,-,NA,high,survey,Field review (target venue),n/a
Roy2019,"Roy et al., Deep learning-based EEG analysis: a systematic review",2019,J. Neural Engineering,review,-,review,-,-,-,-,-,mentioned,-,NA,high,survey,Field review (target venue),n/a
Suhaimi2020,"Suhaimi et al., EEG-based Emotion Recognition: A State-of-the-Art Review",2020,Computational Intelligence and Neuroscience,review,-,review,-,-,-,-,-,no,-,NA,med,survey,Emotion-EEG review,n/a
Saeb2017,"Saeb et al., The need to approximate the use-case in clinical machine learning (subject-wise vs record-wise CV)",2017,GigaScience,methodology,-,methodology,-,-,-,-,-,yes,-,NA,high,methodology,Canonical record-wise-vs-subject-wise CV leakage warning,n/a
Little2017,"Little et al., Using and understanding cross-validation strategies",2017,GigaScience,methodology,-,methodology,-,-,-,-,-,yes,-,NA,high,methodology,CV strategy / leakage in biomedical ML,n/a
Varoquaux2018,"Varoquaux, Cross-validation failure: small sample sizes lead to large error bars",2018,NeuroImage,methodology,-,methodology,-,-,-,-,-,yes,-,NA,high,methodology,CV instability in neuroimaging,n/a
Poldrack2020,"Poldrack, Huckins & Varoquaux, Establishment of Best Practices for Evidence for Prediction: A Review",2020,JAMA Psychiatry,methodology,-,methodology,-,-,-,-,-,yes,-,NA,high,methodology,Best practice for predictive neuro models,n/a
Kaufman2012,"Kaufman et al., Leakage in Data Mining: Formulation, Detection, and Avoidance",2012,ACM Trans. KDD,methodology,-,methodology,-,-,-,-,-,yes,-,NA,high,methodology,Foundational data-leakage taxonomy,n/a
