codebook_version,stage,group,group_instructions,field,type,primary,shown_when,question,decision_rule,options
1.1,code,Preprocessing and model selection,,N1,cat,yes,X1=yes,Scope of normalization or standardization for the headline result,"When several steps are described, for example baseline subtraction and then z-scoring, code the widest scope among them, in this order: over the whole dataset, per participant or recording, unclear, fit on training data, per window or trial. Per participant, session or recording means statistics computed over all of that data, including trials that end up in the test set. Statistics taken from a calibration slice of a test participant that is kept apart from the scored trials count as fit on training data. None described only when no normalization step is mentioned at all.","none=None described | instance=Per window or per trial only (for example baseline subtraction within a trial) | train_only=Fit on training data only | participant_all=Per participant, session or recording, over all of that data | dataset_all=Over the whole dataset before the split | unclear=Mentioned, but the scope cannot be determined"
1.1,code,Preprocessing and model selection,,T1,cat,yes,X1=yes,Was data from test participants used during training or adaptation?,"Not applicable when S1 is Subject-dependent, Pooled or Cross-session. For every other design, code what the model saw of the test participants during training or adaptation. If both unlabeled and labeled test-participant data were used, choose Labeled.","none=No | unlabeled=Unlabeled test-participant data (domain adaptation, transductive learning) | labeled=Labeled test-participant data (calibration, fine-tuning, few-shot) | na=Not applicable | unclear=Unclear"
1.1,code,Preprocessing and model selection,,M1,cat,no,X1=yes,"How were hyperparameters, features or the stopping epoch chosen?","Consider hyperparameters, feature selection or ranking, and the stopping epoch together, and code the least safe answer that applies, in this order: using test data, not reported, inside the training set, fixed. Values listed without saying how they were chosen count as Not reported, not as Fixed.","fixed=Fixed in advance or taken from prior work | inner=On data inside the training set (validation split or nested cross-validation) | test=Using test data (for example the best epoch on the test folds, or features ranked on the whole dataset before the split) | not_reported=Not reported"
1.1,code,Participant-independent evidence and claims,,R1,cat,yes,X1=yes,"Does the paper's own EEG-only work on DEAP, DREAMER or a SEED-family dataset include a participant-disjoint result?","Consider every EEG-only emotion result from the paper's own experiments on those datasets, including tables and supplements. Baselines the authors re-ran count; numbers quoted from other papers, multimodal results and results on other datasets do not. Yes if any of them meets the S2 definition. Otherwise Unclear if any of them might meet it but its split cannot be determined. Otherwise No. When the headline result is itself such a result, R1 is Yes whenever S2 is Yes, and is never No when S2 is Unclear.",yes=Yes | no=No | unclear=Unclear
1.1,code,Participant-independent evidence and claims,,R2,num,no,X1=yes & R1=yes,Best participant-disjoint value,"The best participant-disjoint value counted under R1, for the proposed method or, when the paper proposes none, for any method the authors ran, on the headline dataset and task and in the headline metric. If no such value exists, leave it blank and explain in the note; do not substitute another dataset, task or metric.",
1.1,code,Participant-independent evidence and claims,,R3,cat,no,X1=yes & R1=yes,Normalization scope for that participant-disjoint result,"The N1 options applied to the result in R2, or to the best participant-disjoint result when R2 is blank. If that result is the headline result, repeat your N1 answer.","none=None described | instance=Per window or per trial only (for example baseline subtraction within a trial) | train_only=Fit on training data only | participant_all=Per participant, session or recording, over all of that data | dataset_all=Over the whole dataset before the split | unclear=Mentioned, but the scope cannot be determined"
1.1,code,Participant-independent evidence and claims,,R4,cat,no,X1=yes & R1=yes,Test-participant data used for that participant-disjoint result,"The T1 options applied to the same result. Not applicable does not arise here, because the result is participant-disjoint.","none=No | unlabeled=Unlabeled test-participant data (domain adaptation, transductive learning) | labeled=Labeled test-participant data (calibration, fine-tuning, few-shot) | na=Not applicable | unclear=Unclear"
1.1,code,Participant-independent evidence and claims,,C1,cat,yes,X1=yes,Does the paper make a population-level claim?,"Code from the title, abstract and conclusion only, regardless of how the evaluation was done. Explicit: says the method works for new, unseen or other people, or calls it subject-independent, cross-subject, user-independent or generalizable across individuals. Generic: a performance or capability statement about the method, for example that it achieves 95% accuracy for EEG-based emotion recognition, that is not limited to the participants it was trained on. No: every such statement is explicitly limited to within-subject, subject-dependent, personalized or calibrated use, or the paper makes no such statement. A title that only names the topic is not a performance statement. A qualifier such as subject-dependent limits only the statement it belongs to. If statements differ, code the strongest: Explicit over Generic over No.",explicit=Explicit population claim | generic=Generic population wording | no=No population claim
1.1,code,Evidence,Quotes let the adjudicator settle disagreements without reopening the paper. Include the page or section.,Q_split,text,no,,"Quote for the evaluation design (S1 to S5, U1)",,
1.1,code,Evidence,Quotes let the adjudicator settle disagreements without reopening the paper. Include the page or section.,Q_norm,text,no,,"Quote for normalization and test-participant data (N1, T1, R3, R4)",,
1.1,code,Evidence,Quotes let the adjudicator settle disagreements without reopening the paper. Include the page or section.,Q_claim,text,no,,Quote for the population claim (C1),,
1.1,code,Evidence,Quotes let the adjudicator settle disagreements without reopening the paper. Include the page or section.,note,text,no,,Note,,
1.1,code,Evidence,Quotes let the adjudicator settle disagreements without reopening the paper. Include the page or section.,minutes,minutes,no,,Minutes spent on this paper,,
